"Restaurant Name","Category","Item Name","Quantity","Price","Subtotal"
"Mad Yolks","Modifiers","Bacon","4","2.0","8.0"
"Mad Yolks","Modifiers","Extra Cheddar","4","1.0","4.0"
"Mad Yolks","Modifiers","Sausage","5","2.0","10.0"
"Mad Yolks","Modifiers","Avocado","3","2.0","6.0"
"Mad Yolks","Modifiers","Pickles","2","0.5","1.0"
"Mad Yolks","Modifiers","Pudding","2","2.0","4.0"
"Mad Yolks","Modifiers","Drop the Egg and Swap the Cheese!","1","0.0","0.0"
"Mad Yolks","Modifiers","Extra Feta","1","1.0","1.0"
"Mad Yolks","Modifiers","Fresh chillis","1","0.0","0.0"
"Mad Yolks","Fries/Sides","Hand Cut Fries","11","4.0","44.0"
"Mad Yolks","Burgers","Buff Yolk","6","10.0","60.0"
"Mad Yolks","All Day Brunch","Sausage Classic","6","7.5","45.0"
"Mad Yolks","All Day Brunch","Mad Yolk","6","7.0","42.0"
"Mad Yolks","All Day Brunch","Bad Yolk","5","9.0","45.0"
"Mad Yolks","Drinks","Coke","6","2.0","12.0"
"Mad Yolks","Fries/Sides","Loaded Fries","4","6.5","26.0"
"Mad Yolks","Burgers","Yolko Ono","4","10.0","40.0"
"Mad Yolks","All Day Brunch","Bacon Classic","3","7.5","22.5"
"Mad Yolks","Nachos","Nachos Con-Carnage","3","9.0","27.0"
"Mad Yolks","Drinks","San Pellegrino Lemon","4","2.5","10.0"
"Mad Yolks","Fries/Sides","Smokey Fries","3","6.5","19.5"
"Mad Yolks","Nachos","Veggie Nachos","3","8.0","24.0"
"Mad Yolks","Drinks","Fanta","3","2.0","6.0"
"Mad Yolks","All Day Brunch","Fresh Yolk","2","7.5","15.0"
"Mad Yolks","Drinks","Coke Zero","2","2.0","4.0"
